Title,Media,Datetime,Link
Watching the Generative AI Hype Bubble Deflate,Ash Center,2024-11-20 10:54:02.119091,https://news.google.com/read/CBMiiAFBVV95cUxNQmEwMEdlMm1zVUVqVElFUjBvRk9Jc3pSeE1GazBQNmRUTUw2SS1Kcm1RTDFfUmxSY2ZSRnRjOWNSZllMN2oyLXpUdjNuVHlsaktIUVZSYXE1WHl0aWhIbDFZVGg2TFluSWtCb2ZYWWZtdUJiaFVRMW02Z2Vkc2tMUkZpMDlCS0tk?hl=en-US&gl=US&ceid=US%3Aen
Former BP Chief Joins A.I. Data Center Developer,The New York Times,2024-11-24 15:54:02.119641,https://news.google.com/read/CBMihAFBVV95cUxNaE9aT24xcExEM1Q2OWIzN2ZkMVhCUTVFTE5VbkNCYW5CQ01MNE1QSmw4c0JkODVMOTY4eUdhWFlzeF9QZWQ0RG44LW5XTFVFcVlTTWJiODBiSzFKVE0zSDlWS2ZlUmlESnptaVFfeW9Tb3liQ1hFTVVnYkRuc1RrMXdKMVk?hl=en-US&gl=US&ceid=US%3Aen
"Salesforce CEO says LLM ‘upper limits’ reached, future of AI is agents",Cointelegraph,2024-11-25 05:54:02.120150,https://news.google.com/read/CBMie0FVX3lxTFBCZmdkSnFEZHJxZzFiaUZ5aVBHS01nTW1PQW5IYlVIajR4MjJqQkZmQVItVXhZTFJkYXZoU3p6Rm1lYVg0SWYzTlJJb3NSZ2JfdHNkdk13NHlvak1RYnUyVUZUNnJGTEt2ajdZNTNXUVR6azZzUVVzY3prNA?hl=en-US&gl=US&ceid=US%3Aen
Training AI takes heavy toll on Kenyans working for $2 an hour | 60 Minutes,CBS News,2024-11-24 23:54:02.120703,https://news.google.com/read/CBMigAFBVV95cUxPbEZSajd4UFhWTDdadVBDN0wyTktQUnJPZFhjcGd0VEtyYTFmbU1FMUNHcVBNMkR1VkdNMnpoSVNaRHJmMDAxRUlGWTVyTzItNFJLcjFOeGtyaWRmQnp2eDhlbGJyYjBjLXg2RXZGVmhhTlQ0NmZTbEdUUkJKM2g5Tw?hl=en-US&gl=US&ceid=US%3Aen
"Ignore The Noisy AI Hype Machine, Just Get Stuff Done",Forbes,2024-11-24 22:54:02.121225,https://news.google.com/read/CBMiqwFBVV95cUxOOFJhMndISDV1dGdCVWRiLUZnSEp3NGtfNzhiRzBSbzl2RkFEXzlJWEk3azZ4X3h4S3R0V0pJMmxub1k4ZVYyMm51N3FMVEZPVGRrN0RMeGZrWGRza2lMSU44RzBjV2RWSmpUNEZXekgxWHlUU1NyYnVDdU9KYVowTVF5V0RQUTRTOGk2cTFWeGFCNW5yS2dIMGltYTJPckVJOU4ybXBMLTNzUWs?hl=en-US&gl=US&ceid=US%3Aen
Kenyan workers with AI jobs thought they had tickets to the future until the grim reality set in,CBS News,2024-11-24 23:54:02.121783,https://news.google.com/read/CBMidkFVX3lxTE9EM3R5U2lXcld3SXJkX3lhVTZNMTlCTjFOaGdybWRWVDNrVmVWRnpvY0FYUS1QRzFLUFFQVVJYSkw0UmxsRVIwNXFweTM0RXI1NkNITTJDa2tOcnkzZ1AtQzdrRFlFZHhtRkZjTGw4aWptTGhTdVHSAXtBVV95cUxPVjZ0VTZqcGpLY3c4OGxGZ1hUWW9kZ0VpMmU4V3kyWk9DLUpaM2JHSm41Q1l6QWRKd1VJYjdEdVVYZXh1X0gwd2xMTkVVNER0SVZaNlEyWnc1U1c2QWdYczhQcWp6VWZ0TUxINU00NWdqaWtXMWFiTkpib2M?hl=en-US&gl=US&ceid=US%3Aen
"Snowflake, Elastic Upgraded As Wall Street Analyst Cites Emerging AI Battlefield",Investor's Business Daily,2024-11-25 01:54:02.122295,https://news.google.com/read/CBMinAFBVV95cUxOZ2o1VGxGVDMyb3VocFJRTHphMEVxQzJ4ZnF1WnNaUEhKUXgwQzZybWsyN3J5bmt0emVsN2Npa0tkTVVJMFUzM0trYmJPMG95Y2tWcl9tVnRzNUoxYzdKdUs5SDJWNkFCdzRTV3E5UkJVRHhLNkRoNE1IM2Q4Um9jRXZQR1BtazN5cG94ZUxrMEtzdGc0MUY2dHI1eTM?hl=en-US&gl=US&ceid=US%3Aen
Nvidia CEO Jensen Huang says we're still several years away from getting an AI we can 'largely trust',Business Insider,2024-11-25 02:54:02.122828,https://news.google.com/read/CBMijwFBVV95cUxQTmgzVXY1UF9kN3hoeXBSRmUzWjdPdHp6aGRKWVc4WlJzR3Qyd0F5azJoc0ZDeEE5OURJSTVldzZhZHBVaUtmc2gyU3VmVkZqMDJPTnlJaFlpbDhaQU85ZWhwZXpnLUlHOXpWRy1EdWlQanljQVAwYlFtRnRiOThsWGVwcU5XWEgySE5rTTV2NA?hl=en-US&gl=US&ceid=US%3Aen
"Getting started with AI agents (part 2): Autonomy, safeguards and pitfalls",VentureBeat,2024-11-24 20:54:02.123311,https://news.google.com/read/CBMinwFBVV95cUxNTG1MVUo5Z1gzSFZlWDBDY0JmbVlleFJ5ZENMODlwbjY2QnNvZ0l3anpsc2ItOWRJVTAwVFpybEFvcHVQX0hJUEJnYlp5VHNid3BhclNyeXhxMDltVXhEYVMtZlNhckxZRGFOYnV6UmZiT1cwSW1BeXNacHFVM205Nnk2RWZOV19aOUZpaWRVeU02UmdYVjBoSUJDSlAyNWM?hl=en-US&gl=US&ceid=US%3Aen
AI boom makes 139-year-old cable company Japan’s hottest stock,Fortune,2024-11-24 23:54:02.123861,https://news.google.com/read/CBMingFBVV95cUxQdkF0OEJIRGJvQzdFTThmX09CV3FwVWoxaE1aa1MwdGhUMjdUNDZveXVHdk82OE1td2c3RWt6VGhaVVlzeU8tY0ZKZFN4SThXNHRrNmRuNUIxQXBTTjVUYi1EeExqZHFUYjREMmd6TUFNTGtFcWhtcHdSZTVFdk5SdUNRd3NQclF1OVJMOWoyRmtlMzY1TnY3V3NxTl9vZw?hl=en-US&gl=US&ceid=US%3Aen
