"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774040358265241739","Sun Mar 31 16:58:46 +0000 2024","0","@tubirfess Makin banyak orang bodoh yang memamerkan kebodohan mereka. Dikata bagus apa ya bikin konten begituan. Teknologi makin canggih otak mereka makin bobrok. Sakit emang https://t.co/yYA5ZmYrZy","1774481473544040706","https://pbs.twimg.com/media/GKA5fx-bMAAMFYE.jpg","tubirfess","in","Edinburgh, Scotland","0","0","0","https://x.com/haaniyael/status/1774481473544040706","895661399266910209","haaniyael"
"1774432504466034771","Sun Mar 31 16:57:45 +0000 2024","1","@Fedianto_BEFI @uwwwooohhhh mjb bantu jawab ya kak dibalik masing masing avatar itu ada org aslinya kak. mereka pake teknologi yg namanya motion capture suit yg fungsinya buat ngedeteksi gerakan mereka. istilah gampangnya mah kayak org pake filter tp buat sebadan. jd mereka bener bener sama persis kayak-","1774481220166111429","","Fedianto_BEFI","in","MINOR/HOMOPHOBIC DNI","0","1","0","https://x.com/shawtiezt/status/1774481220166111429","1746527144380108800","shawtiezt"
"1774406531012005920","Sun Mar 31 16:52:05 +0000 2024","1","@Heraloebss Itulah perlunya Negara melindungi setiap warganya. Tidak semua teknologi harus dimanfaatkan lsg tanpa persiapan SDM. Mencerdaskan kehidupan bangsa adalah amanat pembukaan UUD 1945.","1774479794199232862","","Heraloebss","in","Indonesia","0","0","0","https://x.com/akucintaistriku/status/1774479794199232862","1577811079195160576","akucintaistriku"
"1774472252370907626","Sun Mar 31 16:44:50 +0000 2024","0","@syirups ihh seneng bgt bacanya will do! nnti mereka mau fancon jd ku bakal berisik ttg mereka/teknologi yg dipake buat concert nya xixi","1774477968255127736","","syirups","in","jkt | 20","0","1","0","https://x.com/hicroki/status/1774477968255127736","500034973","hicroki"
"1774476557790466112","Sun Mar 31 16:39:14 +0000 2024","0"," Mata Pelajaran Sains dan Teknologi: Teknik Elektro Teknik Informatika Teknik Kimia Fisika Biologi Kimia Ilmu Komputer Matematika Teknik Sipil Teknik Mesin Hubungi kami di: https://t.co/xTGOqi9fdC #jokitugas #zonauang","1774476557790466112","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/jokiinajaoke/status/1774476557790466112","1591841309882392576","jokiinajaoke"
"1774476474277580889","Sun Mar 31 16:38:54 +0000 2024","0","Layanan Joki Tugas: Bahasa Indonesia Matematika IPA/IPS Bahasa Inggris Fisika Ekonomi Kimia Sosiologi Biologi Geografi Seni Budaya Pendidikan Agama atau Etika TIK (Teknologi Informasi dan Komunikasi) Hubungi kami di: https://t.co/xTGOqi9fdC #jokitugas #zonauang","1774476474277580889","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/jokiinajaoke/status/1774476474277580889","1591841309882392576","jokiinajaoke"
"1773597422200971550","Sun Mar 31 16:37:54 +0000 2024","0","@aizatzlkbli @ikhwzul325 guni baja tu boleh toleh menoleh lah. memang teknologi baru.","1774476222942351448","","plantamadanon","in","","0","1","0","https://x.com/ftfxftfxft/status/1774476222942351448","1568104287645089792","ftfxftfxft"
"1774474334222110777","Sun Mar 31 16:33:01 +0000 2024","0","@404waves teknologi cupang ","1774474994514624957","","404waves","in","","0","1","0","https://x.com/smoothkouu/status/1774474994514624957","1274339622219157510","smoothkouu"
"1774474971743699096","Sun Mar 31 16:32:56 +0000 2024","0","Terima kasih teknologi ","1774474971743699096","","","in","","0","0","0","https://x.com/azzumaru/status/1774474971743699096","381433584","azzumaru"
"1774364779974668627","Sun Mar 31 16:31:34 +0000 2024","0","@BarcaBandidos Sedikit lebay dan pengen ketawa menurutku sampe dibuat kredit khusus buat asisten pelatih ketika pelatihnya kena suspen. Perlu bukti konkrit klo semua yg dilakuin itu mutlak keputusannya 100%. Apa teknologi skr ga mendukung buat pelatih kasih arahan di luar bench ???","1774474629647859975","","BarcaBandidos","in","Bali, Indonesia","0","0","0","https://x.com/Rsbodaryr/status/1774474629647859975","1523865523393826816","Rsbodaryr"
"1774474571472871447","Sun Mar 31 16:31:20 +0000 2024","0","Di Dunia yang penuh Teknologi dan Ilmu Melimpah ini kalo kau tetap miskin.. Kau memang Pemalas &amp; Bodoh.","1774474571472871447","","","in","","0","0","0","https://x.com/qizzbo/status/1774474571472871447","1451152417815347201","qizzbo"
"1774473553477542130","Sun Mar 31 16:27:17 +0000 2024","0","apa yg bikin nyaman di teknologi pendidikan?","1774473553477542130","","","in","","0","2","0","https://x.com/sabsebsub/status/1774473553477542130","1745035898482520064","sabsebsub"
"1774471789336486146","Sun Mar 31 16:20:17 +0000 2024","15","Awak nak jadi apa pun boleh asalkan sanggup bina skills yang diperlukan ️ Trend teknologi sekarang mereka pandang portfolio dan assessment test you saja. Dah banyak tech company tak pandang degree apa you pegang. Selagi boleh jual diri dalam portfolio jual. https://t.co/qapLEUghto","1774471789336486146","https://pbs.twimg.com/media/GKAwr3sakAA60xW.jpg","","in","Hire me →","0","1","4","https://x.com/eddthinksdesign/status/1774471789336486146","2485368801","eddthinksdesign"
